next_O3,next_PM2.5,next_PM10,next_CO,next_SO2,next_NO2
33.3,11.5,21.5,0.3,1.4,6.5
32.6,10.5,20,0.3,1.1,5.2
26.8,8.8,16.7,0.3,1.1,7.2
26.4,7.9,14.8,0.3,1.2,9.2
25,6.9,12.7,0.2,1.5,11
22.6,6,10.8,0.2,1.1,14.4
26.2,4.9,10.7,0.3,1.3,12.4
28,4.3,10.8,0.3,1.3,11.8
28.5,4,11.7,0.3,1.3,11.9
31.3,4.3,12.3,0.3,1.2,10.7
31.7,4.2,12.1,0.3,1.4,10.7
31.8,3.9,10.4,0.3,1.2,11
31.7,3.8,8.8,0.3,1.2,11.7
28.2,3.8,7.7,0.3,1.7,15.5
30.5,4,7.8,0.3,2.6,13.3
31.5,4.4,8.8,0.3,3.7,12.8
33,4.7,10.2,0.3,3.7,11.4
33.4,5.5,12.1,0.3,3.5,11.1
31.7,6.4,13.1,0.3,3.9,12.9
32.7,7.7,14.2,0.3,3.8,12.4
36.1,8.4,15.2,0.3,3.5,9.5
37.6,7.9,14.5,0.3,1.3,6.6
34.9,7.3,14.4,0.3,1.2,7.5
33.5,7.2,14.6,0.3,1.5,8.6
32,7.8,15.2,0.3,2.3,8.2
32.4,8.5,17,0.3,1.8,6.6
31.4,9.2,18.2,0.3,2,7
28.1,9.4,19,0.3,2.3,8.8
26.6,9.8,20.1,0.3,2.1,11.1
27.1,10.2,21.6,0.3,1.7,12.3
29.9,10.5,23.5,0.4,1.4,10.6
30.9,10.9,24,0.4,2,11.5
30.3,10.8,24.6,0.4,2,11.5
32.4,11.4,25.8,0.4,2,10.4
32.7,12.7,26.8,0.4,2,10.3
34.5,13.8,29.8,0.5,2,10.6
33.9,14.7,31.4,0.5,2,12
30.7,15.5,32.8,0.5,2,12.8
22.6,16,34.3,0.5,2,18.7
15.7,17,35.8,0.5,1.7,23.6
14.9,19,37.9,0.5,2.2,24.1
23.1,21.6,40.1,0.5,1.8,17.3
25.2,23.6,41.1,0.5,2,16.7
30.3,25.5,42.9,0.5,1.8,13.6
31.1,26.7,45.5,0.5,1.7,11.4
32.8,28.1,46.9,0.5,1.7,9.8
29.4,28.7,48.8,0.5,1.6,10.5
30.4,29.4,49.5,0.5,0.5,9.6
32,30.3,49.9,0.5,1.2,8.6
31,29.2,49.2,0.5,0.5,8.7
35.1,28.2,47.8,0.4,0,7.8
35,28.6,48.6,0.4,2,7.1
33,28.8,49.1,0.4,0,8.6
31.8,29.4,51.1,0.4,2,11
31.1,29.9,53.6,0.4,1.9,13
32.7,29.6,52.8,0.4,1.7,12.9
32.6,29.7,51.8,0.5,1.4,12.3
31.7,30.4,51.3,0.5,1.6,12.7
35,30.4,49.3,0.5,1.4,10.1
33.9,29.3,47,0.5,1.5,12
31.4,28,45.1,0.5,1.8,14.8
29.9,26.5,43.3,0.5,2.1,16
28.3,26.2,42.3,0.5,1.6,14.7
25.9,26.4,42,0.5,1.5,14.3
26.5,24.7,39.5,0.5,2.7,12.7
25.6,24.5,37.3,0.5,3.6,12.9
